OBJECTID;profileId;TIPO;EPIPEDON;ENDOPEDON;ORDEN;SUBORDEN;GRANGRUPO;SUBGRUPO;FAMILIA_TE;LATITUD;LONGITUD;pH.0_30_spline;pH.30_100_spline;pH.0_30_Sum.Pond;pH.30_100_Sum.Pond;DEM;AnHill;Slo;Aspect;Plan_Curv;Prof_Curv;Conv_Ind;Closs_Dep;TotCatchAr;TWI;LSfactor;CHBL;CND;VD;RSP;MRVBF;MRRTF;TRI;visSky;SkyVF;Pos_Op;Neg_Op;TPI;clima;tipo_relieve;ndvi
1;AC-079;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;9.813694444;-74.8315;NA;NA;NA;NA;12.12117195;0.635015965;0.195907414;6.124548912;-9.21E-05;-0.000133834;-19.29466438;0;4715.395996;6.538827419;2.976267099;12.12117195;0;841.890625;0;0.460054845;1.26E-05;3.085879803;93.99916077;0.984031677;NA;NA;-8.372690201;3;4;0.688739504
2;AF-001;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;FLUVENTIC HAPLUSTOLLS;FRANCA FINA;10.21816667;-73.40069444;4.48519824;5.040408668;4.5;5.042857143;93;0.820741117;0.037172668;2.676896095;-5.74E-05;-2.21E-05;1.627154827;0;1411.353149;6.848585129;0.263172925;86.26190186;6.738098145;485.3671875;0.013692391;5.843621254;4.042668819;0.773247659;98.72914886;0.999421358;1.550833821;1.544292212;0.781085014;3;17;0.574307494
3;AF-002;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.22005556;-73.39905556;5.461828258;6.061722335;5.5;6;90;0.762993753;0.052655909;4.390638351;0.000128091;3.01E-05;5.527992725;0;2230.432373;7.016803741;0.458772033;87.05547333;2.944526672;487.3017578;0.006006219;5.745031834;3.793353081;1.095445156;98.12228394;0.99808681;1.54130125;1.545634627;-0.22458154;3;17;0.520449214
4;AF-003;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;10.21961111;-73.39288889;4.767709995;5.71290122;4.766666667;5.714285714;91;0.715123236;0.074398026;5.176036358;9.25E-06;-0.000141184;-5.868420601;0;900;5.703782558;0.592298925;85.33381653;5.666183472;489.6860352;0.011438696;3.40083456;1.846455455;2.280350924;99.16778564;0.99698931;1.557723999;1.473790169;3.166598082;3;17;0.453434721
5;AF-004;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.36327778;-73.25425;4.66843711;5.666658211;4.8;5.657142857;110.0326843;0.762490749;0.032864068;0.002200765;0.000361875;0.000130323;39.03663635;0;2552.625732;7.856499672;0.267641574;107.82444;2.208244324;488.3212891;0.004501756;5.91508913;3.975388765;0.879814506;97.98833466;0.998779297;1.539197206;1.565797448;-0.952148855;3;17;0.418506397
6;AF-005;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;10.35272222;-73.26388889;4.42789752;6.013716165;4.5;5.985714286;109.0104752;0.785274744;0.000174586;4.712388992;0.000551761;6.08E-05;46.47349167;0;44903.36328;14.21882629;0.00052454;107.1495972;1.860877991;486.5927734;0.003809733;5.909076691;3.694771051;0.003584804;98.8631134;0.999615788;1.552938104;1.561873794;-0.468472034;3;17;0.549560624
7;AF-006;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HUMUSTEPTS;TYPIC HUMUSTEPTS;FINA;10.48816667;-73.26263889;4.762428404;6.757178838;4.866666667;4.785714286;201;0.891124606;0.10631635;2.245537281;0.00089747;-0.000251345;27.95249367;0;3700.070068;6.712029457;1.236797929;193.6885223;7.311477661;425.1621094;0.016906183;0.961571693;0.004323797;2.23606801;94.9624176;0.99225831;1.491666198;1.54846108;-1.677242398;3;17;0.159059738
8;AF-007;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.324;-73.26452778;7.425793935;6.653777274;7.433333333;6.642857143;104.2022552;0.764191985;0.021339666;5.608493805;-9.39E-05;-5.28E-05;-9.117023468;0;3173.431152;8.167974472;0.149055511;104.1590118;0.043243408;500.515625;8.64E-05;6.754002571;1.480615497;0.949176967;97.99370575;0.998870671;1.539281487;1.569914937;-0.43734926;3;17;0.422186746
9;AF-007A;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;DYSTRUSTEPTS;TYPIC DYSTRUSTEPTS;FINA;9.623583333;-74.14225;4.685870623;4.710975305;4.666666667;3.357142857;81.09461975;0.77468729;0.015053432;6.271596432;-6.91E-05;-4.05E-05;-10.45535469;0;19670.1543;10.67027855;0.145674065;81.09331512;0.001304626;625.4399414;2.09E-06;7.477918148;6.795133591;0.404913038;98.80976868;0.999509096;1.552100182;1.570076823;-0.391984671;3;5;0.588567343
10;AF-008;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA SOBRE ARENOSA;10.30377778;-73.25997222;6.470179949;6.721713998;6.5;6.65;103;0.753276348;0.086173445;4.349746227;7.64E-05;-0.000252487;-34.90028;0;1330.900391;5.986910343;0.781138659;102.1545258;0.845474243;511.8725586;0.001649004;0.047454078;0.934825599;1.91934526;97.22159576;0.99545306;1.527153254;1.551796317;0.11795415;3;8;0.506214797
11;AF-008A;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;DYSTRUSTEPTS;TYPIC DYSTRUSTEPTS;FINA;9.618138889;-74.13733333;5.10291631;5.163866918;5.1;4.421428571;82.10419464;0.752497077;0.035002239;5.155623436;-6.75E-05;-4.98E-05;-1.55033946;0;6814.818359;8.490736008;0.333960354;82.10419464;0;620.7651367;0;7.229863167;6.758663654;0.937718213;96.07621765;0.995675504;1.509161711;1.570367575;-3.1640172;3;5;0.504996429
12;AF-009;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;10.31569444;-73.26380556;6.245950474;8.752831935;7;8.414285714;103;0.708729565;0.095635004;4.88701725;0.00033624;-0.000382067;8.06182766;0;2349.728516;6.557864189;1.023466706;102.4549026;0.545097351;505.2832031;0.001077633;0.873156309;0.03643284;2.299842834;94.96980286;0.991461337;1.491782188;1.561305285;-2.033130407;3;17;0.268440331
13;AF-009A;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;DYSTRUSTEPTS;TYPIC DYSTRUSTEPTS;FINA;9.61475;-74.13311111;5.409684806;5.12465226;5.4;5.128571429;86.02835083;0.785223544;0.000188984;5.890309334;3.81E-05;-0.000114003;6.501110077;0;20729.28516;13.17838764;0.000472225;84.72715759;1.301193237;614.3828125;0.002113411;7.554848194;6.839370728;0.003585728;99.15317535;0.999797404;1.557494402;1.567228436;-0.214916334;3;5;0.492473593
14;AF-010;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA GRUESA;10.14405556;-73.59863889;6.5;6.5;6.5;4.457142857;90;0.847250044;0.101034187;3.306741238;-6.11E-05;-9.12E-05;-1.959458351;0;2650.591064;6.629775047;1.127269864;85.59515381;4.404846191;466.0849609;0.009362256;0.315678895;0.379630834;2.049390078;97.83314514;0.996474981;1.536759496;1.508878946;1.144637465;3;7;0.817544216
15;AF-010A;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;9.618138889;-74.12388889;6.579081481;6.210555472;6.5;5.357142857;87;0.742545009;0.049112767;5.995888233;8.27E-05;6.10E-06;7.030280113;0;1320.412231;6.580309391;0.378728479;86.29206085;0.707939148;614.762207;0.001150241;7.413941383;6.827889919;1.037724733;98.38819122;0.998783708;1.545478106;1.555632591;-0.101460844;3;5;0.558180694
16;AF-011;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.14461111;-73.60227778;5.131498281;5.917510546;5.2;5.885714286;94;0.797250509;0.016665123;1.570796371;0.000124345;0.000406169;5.458302021;0;5954.777344;9.38509655;0.131222665;88.99049377;5.009506226;460.1816406;0.010768705;4.815653324;3.768227339;0.773251235;96.96650696;0.997298181;1.523146391;1.544093251;-1.189613581;3;17;0.73289924
17;AF-011A;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;AQUEPTS;ENDOAQUEPTS;TYPIC ENDOAQUEPTS;FINA;9.616222222;-74.11958333;4.884727253;5.611871138;4.866666667;2.971428571;87.09985352;0.774082005;0.035023946;0.439712971;0.000222124;-2.91E-06;9.114923477;0;357986.5;12.45277214;0.738306761;87.09985352;0;613.0166016;0;7.607717991;6.883103848;0.940303385;97.88459778;0.998337507;1.537567735;1.570015788;-1.224200726;3;5;0.447947629
18;AF-012;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;10.14875;-73.60186111;5.998947268;6.50342138;6;2.228571429;89.1722641;0.774202764;0.033431333;4.284321785;0.000389785;-0.000132573;26.93154144;0;11285.08301;9.046604156;0.348394156;89.14925385;0.023010254;469.4038086;4.90E-05;4.842503548;0.029212924;0.8973068;96.42508698;0.995739937;1.514641643;1.569344759;-1.827910781;3;17;0.421751267
19;AF-013;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.14725;-73.60536111;5.356175468;6.745950594;5.433333333;6.621428571;90;0.812849581;0.051487021;1.326303601;0.000169941;-0.000416082;4.395653725;0;4938.862305;7.876694679;0.526829481;89.42176056;0.578239441;464.8862305;0.001242285;1.963313699;0.015640864;1.382201076;95.54633331;0.994429886;1.50083828;1.562359095;-2.481026649;3;17;0.657840508
20;AF-014;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.15461111;-73.60419444;4.672246168;5.43099007;4.716666667;3.085714286;93;0.82131964;0.049958397;3.141592741;-8.68E-05;-0.000151445;-8.072181702;0;1811.225342;7.096293926;0.430785894;90.70878601;2.291213989;471.9042969;0.004831792;4.680980682;2.73921299;1;97.88300323;0.998317659;1.537542582;1.550998807;-0.206246868;3;17;0.540251271
21;AF-015;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.15522222;-73.60952778;4.479033754;3.998446971;4.483333333;2.857142857;96;0.777073264;0.08314123;4.068887711;-0.000337154;-0.000316575;-17.48494911;0;1646.387085;6.15357542;0.76542455;92.01448822;3.98551178;466.7788086;0.008466044;0.556973338;2.406405449;1.949358821;98.35922241;0.99599874;1.545023084;1.521235943;0.774193227;3;17;0.462884694
22;AF-016;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;AQUIC HAPLUSTOLLS;FRANCA FINA;10.26469444;-73.30686111;4.946960121;5.140906521;4.966666667;5.142857143;99;0.809228718;0.033320997;1.570796371;0.000208246;-0.000212595;5.101690292;0;1788.160889;7.4889431;0.253875643;95.82362366;3.176376343;507.9052734;0.006215008;6.751825333;2.985431194;0.632455528;98.28387451;0.999014199;1.543839455;1.544763088;0.259230524;3;16;0.767810601
23;AF-017;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;TYPIC HAPLUSTOLLS;FRANCA FINA;10.26725;-73.30705556;4.610644295;5.388829136;4.683333333;5.357142857;97.04009247;0.785223722;0.000188818;5.890673637;4.84E-05;-0.000309147;-23.26539421;0;12504.53906;12.67308235;0.000426346;95.74420166;1.295890808;508.4306641;0.002542326;6.835306644;3.081418514;0.003582574;98.51198578;0.999319792;1.547422647;1.567211866;-0.822857022;3;16;0.628000595
24;AF-018;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;TYPIC HAPLUSTOLLS;FRANCA FINA;10.27475;-73.30716667;5.493111583;5.858628856;5.5;5.857142857;99;0.754702866;0.088042624;0.387230814;0.00010351;-0.000220332;3.747488499;0;1693.463501;6.195561886;0.841026068;96.45059204;2.549407959;502.6665039;0.005046175;0.138814509;0.778666496;1.823492289;96.82566833;0.996049762;1.520934105;1.535468817;-0.106271282;3;16;0.734773744
25;AF-019;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;TYPIC HAPLUSTOLLS;FINA;10.27069444;-73.30758333;4.95425517;6.014332189;5;6.014285714;100;0.797188163;0.016577918;1.570796371;2.02E-05;-9.70E-05;5.083623886;0;1437.296753;7.968914032;0.098080628;95.80635071;4.193649292;503.3330078;0.008262915;6.804710388;3.891016245;0.447219729;99.18544769;0.99972415;1.55800128;1.552131295;0.133343875;3;16;0.556175072
26;AF-020;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.27958333;-73.28555556;5.188669188;6.31789179;5.366666667;6.064285714;98.09858704;0.785223663;0.000188936;5.104643345;4.37E-05;-0.000311557;0.827701688;0;6085.280762;11.9529705;0.000369458;97.77887726;0.319709778;514.0786133;0.000621522;6.870732784;3.386632204;0.003584804;98.64037323;0.999398887;1.54943943;1.5696944;-0.312864363;3;16;0.621986598
27;AF-021;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;AQUIC HAPLUSTOLLS;FRANCA FINA SOBRE ARENOSA;10.27777778;-73.28769444;5.474437117;6.434007439;5.5;6.4;97.45813751;0.840063155;0.075589851;3.14389801;-7.42E-06;-6.23E-05;3.639148951;0;12169.83008;8.583744049;1.07902801;97.45813751;0;514.3901367;0;2.540082455;2.32236743;2.031185627;94.94121552;0.990945518;1.491333127;1.570357561;-2.931524277;3;16;0.589427758
28;AF-022;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;TYPIC HAPLUSTOLLS;FRANCA FINA;10.27458333;-73.28794444;5.074167588;5.508651774;5.1;5.5;97.42941284;0.786049545;0.037089311;3.927964926;-0.000161762;8.46E-05;-3.922375679;0;8328.946289;8.573689461;0.370356351;97.25028229;0.179130554;515.8149414;0.000347156;6.832317829;3.952412844;0.993329763;96.90561676;0.996811867;1.522189856;1.570062995;-1.644569397;3;16;0.717791018
29;AF-023;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;AQUIC HAPLUSTEPTS;FRANCA GRUESA;10.64025;-73.13347222;4.746425891;5.408380998;4.75;5.485714286;188;0.833227575;0.066184573;1.570796371;-0.000459226;-0.000188408;-5.847434044;0;1226.791016;6.424806118;0.574164689;182.8804321;5.119567871;370.9121094;0.013614725;0.591463029;2.840051889;1.407697797;96.96625519;0.996872067;1.523551345;1.531748414;0.289767295;2;16;0.642050005
30;AF-024;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;AQUIC HAPLUSTEPTS;FRANCA GRUESA;10.63347222;-73.13113889;5.489034761;6.144858369;5.5;6.192857143;184;0.764438212;0.074398026;0.463647604;0.000280506;0.000218507;9.09734726;0;1300.831787;6.072146893;0.637582958;180.6931915;3.306808472;375.7250977;0.008724354;0.410954297;0.880657375;1.673320055;95.36968994;0.991479814;1.498308659;1.534889817;-0.544616282;2;16;0.682879566
31;AF-025;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;AQUIC HAPLUSTEPTS;FRANCA GRUESA SOBRE ARCILLOSA;10.64022222;-73.12222222;6.743367912;6.617260497;6.733333333;6.642857143;175.0178833;0.785572946;0.000189151;2.748352766;-0.000158447;4.73E-05;-12.65303135;0;1924006.375;17.70885468;0.001169921;174.813858;0.204025269;384.9321289;0.000529748;4.539498329;2.776416063;0.003588885;97.4885025;0.997582912;1.531345844;1.567075253;-1.288300395;2;16;0.501764922
32;AF-026;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;DYSTRIC HAPLUSTEPTS;FRANCA FINA;10.63444444;-73.12486111;4.456817906;6.31664108;4.5;6.3;178.0052338;0.78576088;0.023478856;3.923276901;0.000273974;0.000182332;0.181649864;0;6369.90332;8.763046265;0.193759546;175.1620483;2.843185425;381.9755859;0.007388375;2.454495192;3.231367588;0.62915051;96.95087433;0.99685961;1.522900701;1.556491256;-0.433114141;2;16;0.556035423
33;AF-027;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;AQUIC HAPLUSTEPTS;FRANCA FINA;10.63558333;-73.12222222;5.605117057;6.382875532;5.65;3.628571429;174.0400848;0.787909508;0.069688857;3.925738811;0.000220203;9.27E-06;34.10359573;0;3464.654785;7.06469202;0.705009758;173.1184082;0.921676636;386.3618164;0.00237985;1.930713773;0.002419238;1.87201643;95.30963135;0.993872821;1.497120142;1.567657351;-1.136124849;2;16;0.454806011
34;AF-028;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;ESQUELETICA FRANCA;10.62675;-73.12177778;4.813342205;5.877651599;4.9;1.642857143;173;0.786517799;0.045460004;3.925073624;-5.23E-05;2.88E-05;-4.659454823;0;964.5262451;6.214101315;0.313469023;171.1334229;1.866577148;387.3950195;0.004795174;3.539171219;1.8495543;1.220660925;97.93715668;0.996964276;1.538393259;1.539981842;0.62276274;2;16;0.586706359
35;AF-029;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;ESQUELETICA FRANCA;10.62866667;-73.1245;5.161585212;5.528832436;5.183333333;1.571428571;176.0104675;0.785547078;0.000178157;2.937478304;-0.000199122;-6.78E-05;-38.26813507;0;6007.137207;12.04010391;0.000348313;173.7163391;2.294128418;384.0087891;0.005938678;3.577059031;2.66121769;0.00344904;97.88831329;0.99823153;1.537626028;1.561448932;-0.50943321;2;16;0.489381524
36;AF-030;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.35522222;-73.27072222;6.289045173;6.579284352;6.3;5.642857143;114;0.738292575;0.047105581;5.497786999;0.000270553;0.000384473;82.68011475;0;941.9472656;6.154802322;0.326737046;108.1614838;5.838516235;476.855957;0.012095677;5.841734409;3.876749516;1.264911056;99.35680389;0.998305559;1.560693026;1.50109303;2.384492159;3;17;0.436296144
37;AF-031;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;10.34966667;-73.27527778;5.424233079;5.866142733;5.4;5.857142857;106.2681503;0.785470486;0.000188818;3.534104347;8.27E-05;-0.000257127;2.740369558;0;24859.74023;13.36023998;0.000489157;106.2681503;0;483.6630859;0;5.888822079;0.112415053;0.003582574;98.27054596;0.999064147;1.543630123;1.570589185;-0.561545908;3;17;0.351886814
38;AF-032;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;10.34427778;-73.27247222;5.752063587;6.220308937;5.766666667;6.214285714;109;0.775303662;0.059289541;0.584909558;0.000117143;0.0001512;12.55152225;0;1230.732788;6.211977482;0.466593593;106.1593933;2.840606689;484.3491211;0.005830596;5.740634918;1.535443902;1.32254684;99.13595581;0.998697877;1.557223916;1.53122282;1.009722471;3;17;0.384327059
39;AF-033;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;TYPIC HAPLUSTOLLS;FINA;10.34358333;-73.27769444;5.265938069;6.4941719;5.25;6.314285714;106.1377792;0.785572588;0.000188818;2.749080896;-0.000445582;-0.000268173;-29.59765625;0;10716791;19.42655754;0.001645741;106.1377792;0;484.3164063;0;5.891385555;0.050140515;0.003582574;98.22744751;0.999025822;1.542953134;1.570278049;-0.886330485;3;17;0.383802984
40;AF-034;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;AQUIC HAPLUSTEPTS;FINA;10.33855556;-73.28233333;5.689726568;5.992938886;5.683333333;3.428571429;108;0.773747087;0.016665353;4.707155228;-2.24E-05;0.000226227;6.819648266;0;3911.948242;8.959717751;0.120522998;105.6890945;2.310905457;481.5263672;0.004776204;5.881929874;3.475142002;0.447219729;97.96549225;0.998666346;1.538838387;1.558367491;-0.388958901;3;17;0.589631502
41;AF-035;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;10.33863889;-73.29022222;4.979702765;6.244261249;5;5.342857143;109;0.750887513;0.036563806;5.167243958;0.000423892;0.000335581;58.80720139;0;1894.366089;7.162773609;0.273385614;106.9034348;2.096565247;475.7397461;0.004387622;5.850729465;3.321868181;0.758139491;98.6800766;0.99895066;1.550063014;1.550670862;0.042872868;3;17;0.414120489
42;AF-036;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;FLUVENTIC HAPLUSTEPTS;FRANCA FINA;10.33677778;-73.31583333;5.536160075;5.733451754;5.533333333;5.771428571;112;0.784530222;0.00122795;4.712388992;-3.87E-05;-0.000380231;-20.16596031;0;900;10.10360527;0.00303036;109.7909622;2.209037781;458.3388672;0.004796543;5.726114273;3.801383972;1.361046433;99.598526;0.99994415;1.564489961;1.522412539;1.204661608;3;16;0.444652115
43;AF-037;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;TYPIC HAPLUSTOLLS;FRANCA FINA;10.33355556;-73.31502778;6.498226395;6.546290335;6.5;6.55;108;0.832801282;0.065606244;3.141592741;-0.000197362;-0.00033628;-35.25194931;0;2076473.125;13.86763191;2.510728359;108.5;-0.5;464.0419922;-0.001078651;3.347264528;0.078751273;1.87912488;96.26522827;0.994628847;1.512130737;1.556309938;-1.899183273;3;16;0.414410255
44;AF-038;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.33152778;-73.31713889;5.347644419;5.058123038;5.316666667;5.085714286;107.0789108;0.740363955;0.051064111;5.019259453;4.31E-05;-0.000465564;1.305295944;0;4938.922363;7.850085735;0.517593324;105.9954758;1.083435059;464.5961914;0.002326567;5.552294254;2.683749676;1.369759083;95.92459106;0.994802773;1.506779909;1.566138268;-1.860628128;3;16;0.484171338
45;AF-039;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.32955556;-73.31402778;6.003208167;6.042118332;6;6.05;109;0.844808519;0.068610564;1.815775037;0.000217047;-0.00034328;17.9004879;0;1191.470337;6.166652679;0.575497687;104.4838181;4.516181946;465.1645508;0.00961543;2.181942701;1.917807817;1.34164083;98.32482147;0.998564422;1.544482708;1.527607679;1.419080019;3;16;0.416863427
46;AF-040;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;ESQUELETICA FRANCA;10.62541667;-73.11677778;4.628076525;5.266079249;4.633333333;3;176;0.789803505;0.094003037;3.926990747;6.64E-05;0.000281511;0.898616552;0;1103.873047;5.620285988;0.826883554;168.0299072;7.970092773;385.3886719;0.020261638;0.072318427;1.377487063;2.280350924;97.92689514;0.994543314;1.538675904;1.48714757;3.144104004;2;16;0.642740387
47;AF-041;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;ESQUELETICA FRANCA;10.63652778;-73.11911111;5.692595457;6.008129536;5.7;2.571428571;172.0379181;0.763038933;0.051852945;4.396525383;0.000230787;0.000263292;11.18305016;0;4573.887695;7.753331661;0.519476473;170.8105927;1.227325439;389.2495117;0.003143145;3.478320599;0.458383322;1.392807484;96.14904785;0.995041966;1.510305643;1.565976262;-1.517547607;2;16;0.529930199
48;AF-042;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;AQUEPTS;ENDOAQUEPTS;TYPIC ENDOAQUEPTS;FINA;10.63766667;-73.11636111;7.140099464;7.272614428;7.133333333;7.314285714;170.0148163;0.785572946;0.000174791;2.356194496;-0.000162662;-0.000527561;-34.3870163;0;384249.5313;16.01903152;0.00075302;169.8320923;0.182723999;392.2646484;0.000465601;4.636769772;2.573147774;0.003586276;97.49642181;0.997759283;1.531473994;1.568057775;-1.398481607;2;16;0.785009759
49;AF-043;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;AQUEPTS;ENDOAQUEPTS;TYPIC ENDOAQUEPTS;FINA;10.63841667;-73.11244444;6.594559835;5.258197006;6.5;5.142857143;169.0126343;0.797125816;0.016490713;3.141592741;0.000227316;3.72E-05;16.28831863;0;2240.290283;8.418030739;0.10645286;167.6141815;1.398452759;394.9267578;0.003528549;4.80160284;2.500412703;0.764810801;97.94700623;0.998586953;1.538547993;1.564301729;-0.695383012;2;16;0.620576234
50;AF-044;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;ESQUELETICA FRANCA;10.64347222;-73.12022222;4.832358284;5.938937498;4.933333333;5.907142857;180;0.844808519;0.068610564;1.815775037;0.000915459;0.000654552;30.78089142;0;1415.983398;6.339288712;0.595715106;172.9272919;7.07270813;380.2519531;0.018260412;0.614377677;2.928204775;1.483239651;98.10520935;0.998246014;1.541425228;1.51684773;1.350444078;2;16;0.603629071
51;AF-048;OBSERVACION;OCRICO;CAMBICO;VERTISOL;AQUERTS;ENDOAQUERTS;TYPIC ENDOAQUERTS;FINA;9.948833333;-73.98155556;5.472789051;6.835213808;5.433333333;6.442857143;62;0.788718462;0.004687847;1.570796371;7.64E-05;4.65E-05;5.16018486;0;900;8.763972282;0.017291104;60.7364006;1.263599396;755.8154297;0.001669046;6.970364094;1.95204854;0.726864517;99.48330688;0.99990207;1.562680244;1.543948412;0.678274214;3;1;0.681224139
52;AF-049;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;FLUVENTIC HAPLUSTEPTS;FRANCA FINA;9.94275;-73.97136111;5.496949498;6.202154168;5.5;6.214285714;62;0.76730907;0.054769952;0.422671616;4.54E-05;0.000182536;0.997759879;0;3479.859863;7.377870083;0.523102582;60.68174362;1.318256378;747.6225586;0.001760161;6.906481266;1.560023665;1.470145941;97.90768433;0.998542786;1.537930369;1.554894209;-0.616699338;3;8;0.797076144
