OBJECTID;profileId;TIPO;EPIPEDON;ENDOPEDON;ORDEN;SUBORDEN;GRANGRUPO;SUBGRUPO;FAMILIA_TE;LATITUD;LONGITUD;pH.0_30_spline;pH.30_100_spline;pH.0_30_Sum.Pond;pH.30_100_Sum.Pond;DEM;AnHill;Slo;Aspect;Plan_Curv;Prof_Curv;Conv_Ind;Closs_Dep;TotCatchAr;TWI;LSfactor;CHBL;CND;VD;RSP;MRVBF;MRRTF;TRI;visSky;SkyVF;Pos_Op;Neg_Op;TPI;clima;tipo_relieve;ndvi
231;CS-118;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.20696111;-73.34691111;6.480005488;6.952296521;6.5;6.942857143;91;0.829235911;0.109120183;1.150040627;-5.27E-05;-0.0001887;-6.538337708;0;1091.260742;5.526652813;1.014510393;87.46953583;3.530464172;528.0722656;0.00664117;0.009412102;0.962875962;2.552579403;97.46435547;0.995929122;1.53096652;1.502251029;2.152408838;3;1;0.56219483
232;CS-119;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.21016111;-73.34841667;6.487289954;7.341692769;6.5;7.335714286;90;0.773632944;0.01666528;6.278844357;-0.000241417;-0.000482231;-19.02132034;0;900;7.491210461;0.089849181;87.89569855;2.104301453;525.7749023;0.003986332;6.90591383;3.960009098;1.272214413;99.04338837;0.999296069;1.55576992;1.516976833;1.487141371;3;1;0.362432729
233;CS-120;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA GRUESA SOBRE ESQUELETICA ARENOSA;10.21464444;-73.35007778;6.668711869;6.567676111;6.666666667;4.692857143;88.25117493;0.785274744;0.000174586;6.283185482;5.23E-05;0.00011777;3.696995974;0;47880.01563;14.28301144;0.000531317;88.19355011;0.057624817;522.9746094;0.000110175;6.888121128;0.343352437;0.003584804;98.19371796;0.998508394;1.542423368;1.570228577;-0.684542477;3;1;0.52627242
234;DC-014;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;FLUVENTIC HAPLUSTEPTS;FRANCA FINA;9.610666667;-74.49344444;5.422438063;4.94336524;5.366666667;2;48;0.797610581;0.034520905;1.130963087;4.36E-05;0.000190891;10.2805872;0;1391.689087;6.917230606;0.238783166;47.08001328;0.919986725;683.9394531;0.001343322;5.927649021;2.656415462;0.71327132;98.43865967;0.999141335;1.546270847;1.552688241;-0.024757694;3;5;0.628816549
235;DC-028;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;9.510583333;-73.96075;6.18889939;5.485697239;6.166666667;3.457142857;80;0.856794953;0.084574834;1.768679261;0.00048034;-0.000212845;8.528659821;0;1807.140503;6.402997971;0.825445354;77.75395966;2.246040344;549.378418;0.004071684;0.145012021;0.870419741;1.670304894;97.27056885;0.995992899;1.527922511;1.530775666;-0.224439874;3;4;0.363114053
236;DC-029;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;AQUEPTS;ENDOAQUEPTS;AERIC ENDOAQUEPTS;FRANCA FINA;9.509777778;-73.96016667;6.5;6.5;6.5;1.95;78.03051758;0.785223722;0.000188818;5.890673637;4.50E-05;-0.000805926;-18.04220772;0;93359.89844;14.68345261;0.000637354;78.01635742;0.014160156;550.8286133;2.57E-05;4.335689545;6.209626675;0.003582574;97.86542511;0.998278558;1.537266493;1.56658709;-0.430496007;3;4;0.444974808
237;DC-030;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;DYSTRUSTEPTS;VERTIC DYSTRUSTEPTS;FINA;9.49375;-73.99022222;4.890465976;4.175782556;4.833333333;1.457142857;90;0.738596976;0.052655909;5.034139633;0.000229475;0.000306108;11.45568371;0;2371.012451;7.077925205;0.464414626;82.3108139;7.689186096;527.3491211;0.014371281;6.226771832;6.793708801;1.095445156;97.42037964;0.997920096;1.530275822;1.547490358;-0.730154097;3;4;0.357353335
238;DC-031;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;DYSTRUSTEPTS;VERTIC DYSTRUSTEPTS;FINA;9.493388889;-73.99055556;6.507087863;5.988070292;6.5;1.285714286;90;0.726618528;0.060020342;5.6951828;0.000283778;-0.000210875;15.08625126;0;1863.407593;6.613871574;0.515017152;82.41017151;7.589828491;527.1577148;0.014193293;2.140881538;6.710102081;1.183215976;98.12242126;0.998501062;1.541303396;1.541476488;-0.028393513;3;4;0.373140583
239;DC-032;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;USTORTHENTS;TYPIC USTORTHENTS;ESQUELETICA FRANCA SOBRE FRAGMENTAL;9.45625;-74.05686111;6.5;NA;4.55;NA;108.0104752;0.786436498;0.046920899;3.928306341;0.000136748;-6.07E-05;1.616057158;0;16375.47754;9.014328003;0.575460792;96.24542236;11.7650528;482.7353516;0.023791796;1.830763698;6.611302376;1.258288145;96.7678299;0.996706188;1.520025611;1.5519768;-2.018108368;3;4;0.423258724
240;DC-033;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;FLUVENTIC HAPLUSTOLLS;FRANCA FINA;9.473388889;-74.06127778;7.324771562;8.046756079;7.466666667;8;88.00740814;0.79712522;0.016454523;1.572998524;-0.000379696;0.000147076;-31.0037365;0;453849.9063;13.72919178;0.306935996;87.72248077;0.284927368;515.4526367;0.000552466;7.225854397;6.854633331;0.443907797;98.06069183;0.998821914;1.540333748;1.563616395;-0.004319062;3;7;0.626463723
